keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
'Bulgarien',de,Bulgaria,#70b9ef,#70b9ef,2,0.100142856347,EUROPE-AFRICA,4008866-2,732800,42.666670000000,25.250000000000,A,Bulgaria,MED
'Laos',de,Laos,#be3ee9,#be3ee9,2,0.100141612831,ASIA,4034571-3,1655842,18.000000000000,105.000000000000,A,Laos,SEA
'Vientiane',de,Laos,#b73ee9,#b73ee9,2,0.100141612831,ASIA,4350641-0,1651944,17.966670000000,102.600000000000,P,Laos,SEA
'Hongkong',de,Hong Kong,#da46ea,#da46ea,2,0.100135206831,ASIA,1318138531,1819729,22.278320000000,114.174690000000,P,Hong Kong,EAS
'Freetown',de,Sierra Leone,#2ae7bd,#2ae7bd,2,0.100130716323,AFRICA,1164112287,2409306,8.487140000000,-13.235600000000,P,Sierra Leone,WAF
'Sierra Leone',de,Sierra Leone,#2ae7c3,#2ae7c3,2,0.100130716323,AFRICA,4054908-2,2403846,8.500000000000,-11.500000000000,A,Sierra Leone,WAF
'Togo',de,Togo,#2be4e7,#2be4e7,2,0.100126757268,AFRICA,4060344-1,2363686,8.666670000000,1.083330000000,A,Togo,WAF
'Lomé',de,Togo,#26e2e6,#26e2e6,2,0.100126757268,AFRICA,4111368-8,2365267,6.128740000000,1.221540000000,P,Togo,WAF
'Juba',de,South Sudan,#237fe6,#237fe6,2,0.100121058194,AFRICA,7741860-8,373303,4.851650000000,31.582470000000,P,South Sudan,NEAF
'Südsudan',de,South Sudan,#2887e7,#2887e7,2,0.100121058194,AFRICA,7755222-2,7909807,7.500000000000,30.000000000000,A,South Sudan,NEAF
'Schweiz',de,Switzerland,#79e0f0,#79e0f0,2,0.100117418535,EUROPE,4053881-3,2658434,47.000160000000,8.014270000000,A,Switzerland,WCE
'Bern',de,Switzerland,#79e1f0,#79e1f0,2,0.100117418535,EUROPE,4005762-8,2661552,46.948090000000,7.447440000000,P,Switzerland,WCE
'Papua-Neuguinea',de,Papua New Guinea,#db189a,#db189a,2,0.100116193735,ASIA,4731020-0,2082514,-5.000000000000,140.000000000000,T,Indonesia,SEA
'Port Moresby',de,Papua New Guinea,#d2177d,#d2177d,2,0.100116193735,ASIA,4116059-9,2088122,-9.477230000000,147.150890000000,P,Papua New Guinea,SEA
'Österreich',de,Austria,#7ad5f0,#7ad5f0,2,0.100113032194,EUROPE,4043271-3,2782113,47.333330000000,13.333330000000,A,Austria,WCE
'Wien',de,Austria,#7bd0f0,#7bd0f0,2,0.100113032194,EUROPE,4066009-6,2761369,48.208490000000,16.372080000000,P,Austria,WCE
'Tadschikistan',de,Tajikistan,#8169ee,#8169ee,2,0.100109880003,ASIA,1016800-X,1220409,39.000000000000,71.000000000000,A,Tajikistan,WCA
'Duschanbe',de,Tajikistan,#7b68ee,#7b68ee,2,0.100109880003,ASIA,130436-7,1221874,38.535750000000,68.779050000000,P,Tajikistan,WCA
'Minsk',de,Belarus,#87c0f1,#87c0f1,2,0.100105425335,EUROPE,4039510-8,625144,53.900000000000,27.566670000000,P,Belarus,WCE
'Weißrussland',de,Belarus,#85bff1,#85bff1,2,0.100105425335,EUROPE,1009143-9,630336,53.000000000000,28.000000000000,A,Belarus,WCE
'Honduras',de,Honduras,#86e838,#86e838,2,0.100104302238,CENTRAL-AMERICA,4025814-2,3608932,15.000000000000,-86.500000000000,A,Honduras,SCA
'Tegucigalpa',de,Honduras,#87e836,#87e836,2,0.100104302238,CENTRAL-AMERICA,4344631-0,3600949,14.081800000000,-87.206810000000,P,Honduras,SCA
'Abu Dhabi',de,United Arab Emirates,#4b5aeb,#4b5aeb,2,0.100103831820,ASIA,4000287-1,292968,24.451180000000,54.396960000000,P,United Arab Emirates,ARP
'Budapest',de,Hungary,#7acaf0,#7acaf0,2,0.100102366876,EUROPE,4008684-7,3054643,47.498350000000,19.040450000000,P,Hungary,WCE
'Amman',de,Jordan,#5a95ec,#5a95ec,2,0.100100441834,EUROPE-AFRICA,4192430-7,250441,31.955220000000,35.945030000000,P,Jordan,MED
'Stockholm',de,Sweden,#92d5f2,#92d5f2,2,0.100098201200,EUROPE,4425212-2,2673730,59.329380000000,18.068710000000,P,Schweden,NEU
'Schweden',de,Sweden,#97dcf3,#97dcf3,2,0.100098201200,EUROPE,4077258-5,2661886,62.000000000000,15.000000000000,A,Sweden,NEU
'Baku',de,Azerbaijan,#6b81ee,#6b81ee,2,0.100097800467,ASIA,4080246-2,587084,40.377670000000,49.892010000000,P,Azerbaijan,WCA
'Aserbaidschan',de,Azerbaijan,#6c87ee,#6c87ee,2,0.100097800467,ASIA,1023252-7,587116,40.500000000000,47.500000000000,A,Azerbaijan,WCA
'Prag',de,Czechia,#7fd5f0,#7fd5f0,2,0.100094111491,EUROPE,4076310-9,3067696,50.088040000000,14.420760000000,P,Czechia,WCE
'Tschechien',de,Czechia,#7ed4f0,#7ed4f0,2,0.100094111491,EUROPE,4303381-7,3077311,49.750000000000,15.000000000000,A,Czechia,WCE
'Santo Domingo',de,Dominican Republic,#5ee940,#5ee940,2,0.100094098473,CENTRAL-AMERICA,4012694-8,3508796,19.000000000000,-70.666670000000,A,Dominican Republic,CAR
'Dominikanische Republik',de,Dominican Republic,#5ee940,#5ee940,2,0.100094098473,CENTRAL-AMERICA,4012694-8,3508796,19.000000000000,-70.666670000000,A,Dominican Republic,CAR
'Athen',de,Greece,#66b8ee,#66b8ee,2,0.100093216904,EUROPE-AFRICA,4003366-1,264371,37.983760000000,23.727840000000,P,Greece,MED
'Griechenland',de,Greece,#69bdee,#69bdee,2,0.100093216904,EUROPE-AFRICA,4022047-3,390903,39.000000000000,22.000000000000,A,Greece,MED
